date,close
0,140
1,121
2,137
3,113
4,130
5,146
6,112
7,152
8,158
9,123
10,137
11,170
12,151
13,120
14,103
15,139
16,150
17,147
18,150
19,144
20,161
21,151
22,131
23,174
24,141
25,142
26,124
27,168
28,157
29,163
30,149
