date,close
0,172
1,131
2,141
3,159
4,114
5,115
6,108
7,154
8,171
9,146
10,103
11,101
12,164
13,104
14,127
15,105
16,148
17,100
18,106
19,161
20,160
21,142
22,134
23,107
24,132
25,112
26,128
27,155
28,113
29,138
30,115
